,City,Cloudiness,Country,Humidity,Lat,Lng,Max Temp,Wind Speed
433,Ewa Beach,75,US,52,21.32,-158.01,91.4,9.17
434,Huarmey,1,PE,92,-10.07,-78.15,60.01,9.66
435,Tripoli,0,GR,60,37.51,22.37,77.0,1.12
436,Longyearbyen,75,NO,78,78.22,15.63,32.0,14.99
437,Westport,1,US,73,41.14,-73.36,72.0,6.93
438,Guerrero Negro,37,MX,83,27.97,-114.04,71.7,13.76
439,Pitea,0,SE,87,65.32,21.48,50.0,4.7
440,San Gabriel,1,US,25,34.1,-118.11,91.4,8.05
441,Prince George,1,CA,43,53.92,-122.75,73.4,3.36
442,Yerbogachen,46,RU,56,61.28,108.01,56.52,11.27
443,Abong Mbang,77,CM,99,3.98,13.18,66.53,2.95
444,Saquena,16,PE,88,-4.67,-73.52,74.52,2.3
445,Khandbari,100,NP,92,27.38,87.21,59.78,1.3
446,Opuwo,0,NA,59,-18.06,13.84,55.21,0.78
447,Varhaug,75,NO,71,58.61,5.65,55.99,10.29
448,Linares,72,CL,81,-35.85,-71.6,42.12,4.09
449,Lucknow,40,IN,89,26.84,80.93,84.2,5.82
450,Ust-Kuyga,100,RU,50,70.0,135.55,56.56,3.11
451,Havre-Saint-Pierre,20,CA,93,50.23,-63.6,46.4,4.7
452,Pringsewu,56,ID,54,-5.36,104.98,84.33,5.08
453,Teguise,0,ES,83,29.06,-13.56,71.6,9.17
454,San Ramon,86,NI,95,12.92,-85.84,66.93,3.56
455,Mandurah,40,AU,58,-32.55,115.7,61.0,14.99
456,Bubaque,100,GW,85,11.28,-15.83,81.11,17.72
457,Chumikan,100,RU,57,54.72,135.31,65.07,6.24
458,Nizwa,100,OM,29,22.93,57.53,84.24,5.59
459,Taoudenni,35,ML,21,22.68,-3.98,96.91,18.66
460,Khani,0,GE,93,41.96,42.96,62.6,2.24
461,Alyangula,19,AU,40,-13.85,136.42,86.0,9.17
462,Sidney,1,US,72,47.72,-104.16,64.99,6.89
463,Zhangye,0,CN,29,38.94,100.46,73.84,4.09
464,Tutin,100,RS,96,42.99,20.34,51.88,2.59
465,Mons,85,BE,82,50.45,3.95,57.2,8.05
466,Dwarka,75,IN,84,28.58,77.04,87.01,4.7
467,Tchaourou,100,BJ,98,8.89,2.6,71.71,1.23
468,Otradnoye,40,RU,93,59.77,30.8,55.0,2.24
469,Sarahan,4,IN,81,31.51,77.79,65.34,1.9
470,Avera,1,US,73,33.19,-82.53,78.8,3.85
471,Lardos,0,GR,83,36.09,28.02,75.2,11.41
472,Arlit,0,NE,21,18.74,7.39,95.06,8.01
473,Porecatu,0,BR,83,-22.75,-51.38,71.6,8.05
474,Roblin,0,CA,87,51.23,-101.35,49.23,4.23
475,Turkmenabat,0,TM,45,39.09,63.58,64.4,9.17
476,Champerico,1,MX,91,16.38,-93.6,68.69,3.36
477,Guarapari,0,BR,78,-20.67,-40.5,75.2,19.46
478,Moerai,0,PF,68,-22.43,-151.33,69.19,21.79
479,Eidsvag,10,NO,76,62.78,8.07,48.2,10.29
480,Itarema,0,BR,75,-2.92,-39.92,76.65,12.19
481,Hundested,37,DK,93,55.97,11.85,57.99,4.7
482,Tshane,0,BW,27,-24.02,21.87,57.51,8.34
483,Tiruchchendur,40,IN,78,8.48,78.12,82.4,10.29
484,Ust-Nera,100,RU,67,64.57,143.24,47.61,3.15
485,Lagunas,2,PE,66,-5.23,-75.68,77.4,1.81
486,Bathsheba,40,BB,74,13.22,-59.52,82.4,19.46
487,Mashhad,0,IR,33,36.3,59.61,62.6,6.93
488,Victoria Point,0,AU,9,-27.58,153.3,93.0,14.99
489,Tautira,40,PF,74,-17.73,-149.15,82.4,13.87
490,Pozo Colorado,99,PY,49,-23.49,-58.8,61.62,7.02
491,Teningen,0,DE,76,48.13,7.81,55.99,3.36
492,Awjilah,0,LY,50,29.14,21.3,76.25,11.72
493,Iquique,0,CL,72,-20.22,-70.14,60.8,8.05
494,Wukari,100,NG,95,7.87,9.78,73.46,5.44
495,Krasnyy Chikoy,100,RU,94,50.36,108.75,56.92,5.1
496,Benton Harbor,40,US,88,42.12,-86.45,78.8,5.82
497,Ankazoabo,0,MG,86,-22.29,44.51,56.92,2.66
498,Kanniyakumari,100,IN,84,8.08,77.57,79.2,13.73
499,Mana,54,NG,70,13.03,5.27,80.39,9.64
500,Luba,100,PH,75,17.32,120.7,84.21,17.56
501,Najran,0,SA,22,17.54,44.22,84.2,1.86
502,Jiexiu,3,CN,35,37.02,111.92,72.06,8.25
503,Mayo,90,CA,54,63.59,-135.9,59.0,8.05
504,Whitehorse,75,CA,54,60.72,-135.06,59.0,3.36
505,Baracoa,0,CU,73,20.35,-74.5,82.82,5.1
506,Banda Aceh,93,ID,84,5.56,95.32,81.85,20.85
507,Granville,0,FR,93,48.84,-1.6,61.0,3.36
508,Petropavlovsk-Kamchatskiy,40,RU,77,53.05,158.65,62.6,6.71
509,Flinders,0,AU,34,-34.58,150.85,78.01,11.41
510,Kingsport,1,US,73,36.55,-82.56,72.0,3.36
511,Langham,20,CA,56,52.36,-106.96,68.0,5.82
512,Tabas,0,IR,37,33.6,56.92,71.6,4.7
513,Port Moresby,40,PG,69,-9.47,147.16,80.6,17.22
514,Ocosingo,93,MX,98,16.91,-92.09,62.77,2.33
515,Winona,90,CA,88,43.21,-79.65,75.0,17.22
516,Mogzon,100,RU,93,51.74,111.97,54.56,1.97
517,Barranca,17,PE,91,-10.75,-77.76,60.39,7.96
518,Dhidhdhoo,100,MV,79,6.88,73.1,81.79,11.23
519,Tomatlan,100,MX,83,19.93,-105.25,82.06,10.98
520,Mayumba,38,GA,84,-3.44,10.65,73.41,8.08
521,Makokou,100,GA,97,0.56,12.85,68.33,4.65
522,Cairns,62,AU,39,-16.92,145.77,87.01,6.93
523,Burgeo,0,CA,88,47.61,-57.61,61.65,9.15
524,Olinda,75,AU,41,-37.84,145.39,64.99,12.75
525,Gornyy,7,RU,89,51.76,48.54,49.57,7.78
526,Beysehir,0,TR,61,37.68,31.72,61.53,5.73
527,Halifax,90,CA,93,44.65,-63.58,64.99,6.93
528,Tucupita,70,VE,94,9.06,-62.05,75.19,4.76
529,Kawalu,26,ID,51,-7.38,108.21,81.13,5.95
530,Lazdijai,0,LT,94,54.23,23.51,54.0,6.46
531,Coari,81,BR,69,-4.09,-63.14,79.78,3.09
532,Ishinomaki,75,JP,83,38.42,141.3,73.4,1.12
533,Pasni,37,PK,68,25.26,63.48,82.35,4.85
534,Pangnirtung,100,CA,65,66.15,-65.72,36.34,6.8
535,Bradford,40,GB,93,53.79,-1.75,62.01,8.05
536,Prachuap Khiri Khan,100,TH,95,11.81,99.79,72.34,9.55
537,Dayong,40,CN,66,25.02,118.29,87.8,15.66
538,Campbell River,20,CA,60,50.02,-125.24,71.6,3.36
539,Astana,0,KZ,100,51.13,71.43,37.4,8.95
540,Sitka,0,US,57,37.17,-99.65,82.0,10.0
541,De-Kastri,95,RU,49,51.48,140.77,70.58,4.41
542,Great Malvern,90,GB,93,52.11,-2.33,61.0,8.05
543,Mehriz,0,IR,20,31.58,54.44,77.0,4.7
544,Lyubim,0,RU,91,58.36,40.69,45.69,4.81
545,Ulladulla,41,AU,25,-35.36,150.48,75.99,11.41
546,Jaru,42,BR,41,-10.43,-62.48,84.37,1.59
547,Armidale,0,AU,17,-30.51,151.67,70.0,10.0
548,Barrhead,40,CA,72,54.12,-114.4,66.2,2.24
549,Aitape,66,PG,76,-3.15,142.36,82.39,4.45
550,Sagauli,0,IN,61,26.78,84.73,89.26,5.23
551,Sola,97,TZ,56,-3.17,33.8,66.93,8.66
552,Chuy,0,UY,61,-33.69,-53.46,43.44,13.4
553,Pereslavl-Zalesskiy,31,RU,88,56.74,38.86,49.93,5.46
554,Puerto Cabezas,100,NI,89,14.04,-83.39,77.06,2.39
555,Evanton,40,GB,87,57.66,-4.34,53.6,11.41
556,Darnah,0,LY,82,32.77,22.64,78.14,11.54
557,Finschhafen,77,PG,96,-6.6,147.85,69.82,4.59
558,Khanpur,11,PK,45,28.65,70.66,96.7,8.48
559,Cascais,0,PT,44,38.7,-9.42,75.2,3.36
560,Demba,100,CD,95,-5.47,22.27,70.78,3.44
561,Elliot Lake,20,CA,88,46.37,-82.65,64.4,12.75
562,Wanaka,100,NZ,55,-44.7,169.14,55.0,1.01
563,Padang,100,ID,83,-0.92,100.36,81.47,14.63
564,Progreso,0,UY,69,-34.68,-56.22,53.01,2.24
